iter	Passed	Remaining
819	2816	618
820	2819	614
821	2822	611
822	2825	607
823	2829	604
824	2831	600
825	2835	597
826	2838	593
827	2841	590
828	2845	586
829	2848	583
830	2851	579
831	2854	576
832	2857	572
833	2860	569
834	2863	565
835	2866	562
836	2869	558
837	2872	555
838	2875	551
839	2878	548
840	2881	544
841	2884	541
842	2887	537
843	2890	534
844	2892	530
845	2895	527
846	2898	523
847	2901	520
848	2904	516
849	2907	513
850	2910	509
851	2913	506
852	2916	502
853	2919	499
854	2923	495
855	2928	492
856	2932	489
857	2937	486
858	2941	482
859	2946	479
860	2950	476
861	2955	473
862	2959	469
863	2964	466
864	2969	463
865	2973	460
866	2977	456
867	2982	453
868	2986	450
869	2990	446
870	2995	443
871	3000	440
872	3004	437
873	3008	433
874	3013	430
875	3017	427
876	3022	423
877	3026	420
878	3030	417
879	3034	413
880	3039	410
881	3043	407
882	3047	403
883	3052	400
884	3056	397
885	3060	393
886	3065	390
887	3069	387
888	3072	383
889	3075	380
890	3078	376
891	3081	373
892	3084	369
893	3087	366
894	3091	362
895	3094	359
896	3097	355
897	3100	352
898	3103	348
899	3106	345
900	3109	341
901	3112	338
902	3115	334
903	3118	331
904	3120	327
905	3123	324
906	3126	320
907	3129	317
908	3132	313
909	3135	310
910	3138	306
911	3141	303
912	3144	299
913	3147	296
914	3150	292
915	3153	289
916	3156	285
917	3158	282
918	3161	278
919	3164	275
920	3167	271
921	3170	268
922	3173	264
923	3176	261
924	3179	257
925	3182	254
926	3185	250
927	3188	247
928	3191	243
929	3195	240
930	3198	237
931	3200	233
932	3203	230
933	3206	226
934	3209	223
935	3212	219
936	3215	216
937	3218	212
938	3222	209
939	3224	205
940	3227	202
941	3230	198
942	3233	195
943	3236	192
944	3239	188
945	3242	185
946	3245	181
947	3248	178
948	3251	174
949	3254	171
950	3257	167
951	3260	164
952	3263	160
953	3266	157
954	3269	154
955	3272	150
956	3275	147
957	3278	143
958	3281	140
959	3283	136
960	3287	133
961	3289	129
962	3292	126
963	3296	123
964	3300	119
965	3304	116
966	3308	112
967	3312	109
968	3314	106
969	3317	102
970	3320	99
971	3323	95
972	3327	92
973	3330	88
974	3332	85
975	3335	82
976	3338	78
977	3341	75
978	3344	71
979	3347	68
980	3350	64
981	3353	61
982	3356	58
983	3359	54
984	3362	51
985	3365	47
986	3368	44
987	3371	40
988	3374	37
989	3377	34
990	3380	30
991	3383	27
992	3386	23
993	3389	20
994	3392	17
995	3395	13
996	3398	10
997	3401	6
998	3404	3
999	3407	0
